date,patch,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,length,blue_gold,blue_kills,blue_towers,blue_dragons,blue_barons,blue_rift_heralds,red_gold,red_kills,red_towers,red_dragons,red_barons,red_rift_heralds
2021-04-10 10:29:00,11.6,Gen.G,DWG KIA,DWG KIA,"Gnar,Seraphine,Renekton,Akali,Sylas","Kalista,Jinx,Varus,Rell,Rakan","Ornn,Hecarim,Orianna,Tristana,Alistar","Sion,Udyr,Viktor,Senna,Tahm Kench","Rascal,Clid,Bdd,Ruler,Life","Khan,Canyon,ShowMaker,Ghost (Jang Yong-jun),BeryL",28:11,41989,6,1,0,0,0,52449,15,8,4,1,2
2021-04-10 10:22:00,11.6,Top Esports,Royal Never Give Up,Top Esports,"Alistar,Lucian,Jinx,Rell,Rakan","Thresh,Hecarim,Udyr,Quinn,Gangplank","Gnar,Olaf,Akali,Senna,Tahm Kench","Sylas,Nocturne,Renekton,Kai'Sa,Leona","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)",25:19,55070,30,8,3,1,,40642,13,0,0,0,
2021-04-10 09:19:00,11.6,Royal Never Give Up,Top Esports,Royal Never Give Up,"Zoe,Tahm Kench,Twisted Fate,Rell,Jax","Thresh,Alistar,Udyr,Orianna,Azir","Lucian,Hecarim,Viktor,Kai'Sa,Nautilus","Sion,Nidalee,Renekton,Tristana,Leona","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",37:56,70641,19,8,2,2,,65867,16,4,3,0,
2021-04-10 09:13:00,11.6,Gen.G,DWG KIA,DWG KIA,"Gnar,Seraphine,Sylas,Akali,Kai'Sa","Kalista,Jinx,Thresh,Orianna,Azir","Volibear,Hecarim,Zoe,Tristana,Rakan","Rumble,Nidalee,Renekton,Xayah,Alistar","Rascal,Clid,Bdd,Ruler,Life","Khan,Canyon,ShowMaker,Ghost (Jang Yong-jun),BeryL",48:43,81285,26,4,3,0,1,88218,21,7,4,3,1
2021-04-10 06:38:00,11.6,DWG KIA,Gen.G,DWG KIA,"Kalista,Jinx,Olaf,Azir,Cho'Gath","Gnar,Seraphine,Hecarim,Akali,Renekton","Sion,Udyr,Viktor,Senna,Heimerdinger","Ornn,Graves,Syndra,Aphelios,Thresh","Khan,Canyon,ShowMaker,Ghost (Jang Yong-jun),BeryL","Rascal,Clid,Bdd,Ruler,Life",35:00,61575,8,11,4,1,1,53455,2,1,1,0,1
2021-04-08 11:05:00,11.6,Top Esports,EDward Gaming,EDward Gaming,"Renekton,Lillia,Kai'Sa,Gnar,Lucian","Tahm Kench,Thresh,Jayce,Ryze,Zoe","Gangplank,Hecarim,Orianna,Jinx,Alistar","Nocturne,Udyr,Sylas,Tristana,Rell","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",43:02,73474,18,3,3,1,,80063,23,9,4,1,
2021-04-08 10:12:00,11.6,Top Esports,EDward Gaming,EDward Gaming,"Renekton,Jinx,Lillia,Gnar,Nocturne","Tahm Kench,Thresh,Jayce,Ryze,Zoe","Gragas,Hecarim,Orianna,Tristana,Rell","Sejuani,Volibear,Sylas,Kai'Sa,Alistar","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",32:14,51722,7,4,1,0,,58844,20,8,4,1,
2021-04-08 09:24:00,11.6,EDward Gaming,Top Esports,EDward Gaming,"Tahm Kench,Orianna,Renekton,Sett,Sylas","Thresh,Jinx,Hecarim,Nocturne,Gnar","Jayce,Udyr,Ryze,Kai'Sa,Alistar","Irelia,Olaf,Twisted Fate,Tristana,Rell","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",26:55,52409,20,8,2,0,,46847,7,3,1,1,
2021-04-07 11:05:00,11.6,FunPlus Phoenix,Royal Never Give Up,FunPlus Phoenix,"Alistar,Lucian,Nocturne,Azir,Orianna","Thresh,Twisted Fate,Sylas,Gnar,Kennen","Renekton,Hecarim,Karma,Tristana,Rakan","Ornn,Udyr,Seraphine,Kai'Sa,Rell","Nuguri,Tian,Doinb,Lwx,Crisp","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)",24:58,50723,16,7,3,1,,41446,9,2,1,0,
2021-04-07 10:13:00,11.6,Royal Never Give Up,FunPlus Phoenix,FunPlus Phoenix,"Twisted Fate,Nocturne,Renekton,Kled,Jayce","Hecarim,Thresh,Alistar,Lucian,None","Gnar,Udyr,Azir,Tristana,Gragas","Irelia,Lillia,Orianna,Kai'Sa,Rell","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)","Nuguri,Tian,Doinb,Lwx,Crisp",29:47,49005,11,3,1,1,,57416,19,8,3,0,
