match_id,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5405236462,BRONZE,I,11.15,2738,EUW1,200.0,100.0,100.0,200.0,100.0,200.0,100.0
EUW1_5405180653,BRONZE,I,11.15,1506,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5405075519,BRONZE,I,11.15,1952,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,100.0
EUW1_5404299687,BRONZE,I,11.15,1936,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
EUW1_5404275828,BRONZE,I,11.15,1892,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5404024200,BRONZE,I,11.15,1874,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5403424440,BRONZE,I,11.15,1983,EUW1,200.0,100.0,100.0,200.0,100.0,200.0,100.0
EUW1_5403317287,BRONZE,I,11.15,2732,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5402347134,BRONZE,I,11.15,2284,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
EUW1_5402371963,BRONZE,I,11.15,1809,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
EUW1_5402245454,BRONZE,I,11.15,2572,EUW1,100.0,100.0,200.0,200.0,100.0,100.0,200.0
EUW1_5402088262,BRONZE,I,11.15,1642,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5401317332,BRONZE,I,11.15,2244,EUW1,100.0,100.0,200.0,100.0,100.0,200.0,100.0
EUW1_5401277004,BRONZE,I,11.15,1815,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5400639705,BRONZE,I,11.15,1919,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,100.0
EUW1_5400660550,BRONZE,I,11.15,2073,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,200.0
EUW1_5400420356,BRONZE,I,11.15,1364,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5399696299,BRONZE,I,11.15,1880,EUW1,100.0,100.0,200.0,100.0,,100.0,100.0
EUW1_5399629009,BRONZE,I,11.15,1230,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5399553268,BRONZE,I,11.15,1792,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,
EUW1_5399287063,BRONZE,I,11.15,1979,EUW1,100.0,200.0,200.0,,,200.0,100.0
EUW1_5399216807,BRONZE,I,11.15,2646,EUW1,100.0,200.0,200.0,200.0,100.0,200.0,200.0
EUW1_5399144447,BRONZE,I,11.15,1388,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
