match_id,count,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5444581784,3519,BRONZE,I,11.17,2414,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5444534820,3520,BRONZE,I,11.17,2056,EUW1,100.0,100.0,100.0,200.0,,100.0,
EUW1_5444244557,3521,BRONZE,I,11.17,1696,EUW1,100.0,200.0,200.0,100.0,,200.0,
EUW1_5443225894,3522,BRONZE,I,11.17,2587,EUW1,100.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5510604073,3523,BRONZE,I,11.2,1462,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5490383300,3524,BRONZE,I,11.19,1357,EUW1,100.0,100.0,200.0,,100.0,100.0,200.0
EUW1_5490315902,3525,BRONZE,I,11.19,2192,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,
EUW1_5490057416,3526,BRONZE,I,11.19,1809,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
EUW1_5484851371,3527,BRONZE,I,11.19,2909,EUW1,200.0,200.0,200.0,100.0,200.0,200.0,100.0
EUW1_5480692050,3528,BRONZE,I,11.19,1010,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5480596931,3529,BRONZE,I,11.19,1535,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5449530675,3530,BRONZE,I,11.17,1415,EUW1,200.0,200.0,200.0,,200.0,200.0,
EUW1_5449433297,3531,BRONZE,I,11.17,1808,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,200.0
EUW1_5443213308,3532,BRONZE,I,11.17,1801,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,200.0
EUW1_5443146859,3533,BRONZE,I,11.17,1633,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5443090741,3534,BRONZE,I,11.17,1724,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
EUW1_5388915580,3535,BRONZE,I,11.15,1838,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5388951110,3536,BRONZE,I,11.15,1510,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5311856255,3537,BRONZE,I,11.11,2690,EUW1,200.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5273553393,3538,BRONZE,I,11.1,1891,EUW1,200.0,200.0,100.0,200.0,,200.0,100.0
EUW1_5272727906,3539,BRONZE,I,11.1,1313,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5272725226,3540,BRONZE,I,11.1,1013,EUW1,100.0,100.0,100.0,,,100.0,100.0
EUW1_5272639614,3541,BRONZE,I,11.1,2282,EUW1,100.0,100.0,100.0,100.0,200.0,200.0,200.0
EUW1_5272593471,3542,BRONZE,I,11.1,2076,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5272516795,3543,BRONZE,I,11.1,1784,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
EUW1_5272398727,3544,BRONZE,I,11.1,2120,EUW1,200.0,100.0,200.0,100.0,200.0,100.0,200.0
EUW1_5269119182,3545,BRONZE,I,11.1,1164,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5262497256,3546,BRONZE,I,11.9,1307,EUW1,100.0,100.0,100.0,100.0,,100.0,
EUW1_5262397449,3547,BRONZE,I,11.9,2358,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5259128806,3548,BRONZE,I,11.9,1785,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5259068091,3549,BRONZE,I,11.9,1707,EUW1,200.0,200.0,100.0,200.0,200.0,100.0,200.0
EUW1_5258968538,3550,BRONZE,I,11.9,1518,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5258873252,3551,BRONZE,I,11.9,1894,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,100.0
EUW1_5258791694,3552,BRONZE,I,11.9,2344,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5257281808,3553,BRONZE,I,11.9,1840,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,
EUW1_5257192398,3554,BRONZE,I,11.9,1637,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5256956271,3555,BRONZE,I,11.9,1416,EUW1,200.0,200.0,100.0,,,200.0,200.0
EUW1_5247723156,3556,BRONZE,I,11.9,1795,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5247603388,3557,BRONZE,I,11.9,1993,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5246110524,3558,BRONZE,I,11.9,1921,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5246020788,3559,BRONZE,I,11.9,1325,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
EUW1_5245670165,3560,BRONZE,I,11.9,2016,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5245540769,3561,BRONZE,I,11.9,1680,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
EUW1_5243992079,3562,BRONZE,I,11.9,2125,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,
EUW1_5243871725,3563,BRONZE,I,11.9,1568,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5243754094,3564,BRONZE,I,11.9,1617,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5243644212,3565,BRONZE,I,11.9,1568,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5243422892,3566,BRONZE,I,11.9,2523,EUW1,200.0,100.0,200.0,100.0,,100.0,200.0
EUW1_5243136937,3567,BRONZE,I,11.9,1506,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5241620300,3568,BRONZE,I,11.9,1977,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
EUW1_5230129343,3569,BRONZE,I,11.8,1819,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
EUW1_5230152900,3570,BRONZE,I,11.8,1736,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5224500477,3571,BRONZE,I,11.8,1566,EUW1,200.0,100.0,100.0,200.0,,100.0,100.0
EUW1_5224452487,3572,BRONZE,I,11.8,1859,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,100.0
EUW1_5224241779,3573,BRONZE,I,11.8,1299,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5220384767,3574,BRONZE,I,11.8,1711,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5219768432,3575,BRONZE,I,11.8,1976,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5219774900,3576,BRONZE,I,11.8,1570,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5219280971,3577,BRONZE,I,11.8,1527,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5219213862,3578,BRONZE,I,11.8,1383,EUW1,100.0,200.0,100.0,100.0,,200.0,100.0
EUW1_5219075332,3579,BRONZE,I,11.8,1602,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5218946047,3580,BRONZE,I,11.8,1586,EUW1,200.0,200.0,100.0,200.0,,200.0,
EUW1_5218847191,3581,BRONZE,I,11.8,1962,EUW1,200.0,200.0,200.0,200.0,100.0,200.0,100.0
EUW1_5218769272,3582,BRONZE,I,11.8,1463,EUW1,200.0,100.0,100.0,,,200.0,100.0
EUW1_5217175952,3583,BRONZE,I,11.8,1736,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5217095527,3584,BRONZE,I,11.8,1481,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5216997091,3585,BRONZE,I,11.8,1777,EUW1,200.0,200.0,200.0,100.0,200.0,200.0,100.0
EUW1_5215843315,3586,BRONZE,I,11.8,2047,EUW1,100.0,200.0,100.0,200.0,100.0,200.0,
EUW1_5191778996,3587,BRONZE,I,11.7,1601,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5191449430,3588,BRONZE,I,11.7,1676,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5191316160,3589,BRONZE,I,11.7,1598,EUW1,200.0,200.0,200.0,200.0,100.0,200.0,100.0
EUW1_5189821281,3590,BRONZE,I,11.7,2093,EUW1,200.0,100.0,200.0,200.0,100.0,200.0,
EUW1_5189667527,3591,BRONZE,I,11.7,961,EUW1,100.0,100.0,100.0,,,200.0,
EUW1_5189392204,3592,BRONZE,I,11.7,1935,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5189085249,3593,BRONZE,I,11.7,1951,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5188986454,3594,BRONZE,I,11.7,1339,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5188886019,3595,BRONZE,I,11.7,1676,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,200.0
EUW1_5188698907,3596,BRONZE,I,11.7,1811,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
EUW1_5177688676,3597,BRONZE,I,11.6,1592,EUW1,200.0,100.0,100.0,200.0,,100.0,100.0
