match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5528314105,11.21,912,EUW1,200,200,200,,,100,200
EUW1_5527060069,11.21,1116,EUW1,200,200,200,200,,200,200
EUW1_5527043860,11.21,1479,EUW1,200,100,100,,200,200,100
EUW1_5526981137,11.21,1536,EUW1,100,200,200,100,100,200,100
EUW1_5525330978,11.21,922,EUW1,200,200,200,,,200,100
EUW1_5525276370,11.21,1381,EUW1,200,200,100,200,,200,200
EUW1_5524181746,11.21,1597,EUW1,200,200,200,200,200,100,200
EUW1_5524115411,11.21,2189,EUW1,100,200,100,100,100,200,100
EUW1_5524030106,11.21,1970,EUW1,100,100,200,100,200,200,200
EUW1_5522395952,11.21,2194,EUW1,100,200,200,100,100,200,200
EUW1_5521510571,11.21,973,EUW1,200,200,200,,,200,
EUW1_5517967767,11.21,1350,EUW1,100,200,200,,,200,100
EUW1_5516741049,11.21,1669,EUW1,200,100,200,200,200,200,200
EUW1_5513573120,11.20,1931,EUW1,200,100,200,200,100,200,100
EUW1_5504253340,11.20,1630,EUW1,100,200,200,100,100,100,200
EUW1_5504149632,11.20,1267,EUW1,100,100,100,,,100,100
EUW1_5504174050,11.20,2021,EUW1,200,200,100,100,100,200,200
EUW1_5504098604,11.20,1344,EUW1,100,100,200,,100,200,200
EUW1_5534437182,11.21,1444,EUW1,200,200,100,200,200,200,100
EUW1_5532725603,11.21,1630,EUW1,100,100,100,100,100,100,200
EUW1_5531841394,11.21,1896,EUW1,100,100,200,100,200,100,200
EUW1_5530075005,11.21,1211,EUW1,100,100,100,,,100,100
EUW1_5528219394,11.21,1870,EUW1,100,200,200,100,100,100,200
EUW1_5526941162,11.21,1718,EUW1,100,200,200,200,100,200,200
EUW1_5525276370,11.21,1381,EUW1,200,200,100,200,,200,200
EUW1_5524050260,11.21,947,EUW1,100,100,100,,,200,200
EUW1_5522389027,11.21,1584,EUW1,200,100,100,200,200,200,100
EUW1_5520751218,11.21,1943,EUW1,100,100,100,200,200,100,100
EUW1_5514313549,11.20,1844,EUW1,100,100,200,100,200,100,200
EUW1_5508801260,11.20,1553,EUW1,200,200,200,,,200,200
EUW1_5508715379,11.20,1966,EUW1,100,100,200,100,100,100,200
EUW1_5506495014,11.20,1432,EUW1,200,200,200,,,100,200
EUW1_5501005121,11.20,1812,EUW1,200,200,200,200,200,200,200
EUW1_5500993521,11.20,2069,EUW1,200,100,100,200,100,200,200
EUW1_5501012192,11.20,1350,EUW1,100,200,100,100,200,200,200
EUW1_5500969079,11.20,1508,EUW1,200,200,200,200,200,200,200
EUW1_5500889413,11.20,1115,EUW1,200,100,200,,,,100
EUW1_5500896471,11.20,1341,EUW1,200,100,100,,,200,200
EUW1_5500921600,11.20,1806,EUW1,100,100,100,200,200,200,100
EUW1_5500817222,11.20,1832,EUW1,200,100,200,200,200,100,200
EUW1_5496087508,11.20,1508,EUW1,100,200,100,100,100,100,100
EUW1_5496113506,11.20,2106,EUW1,100,100,100,100,100,200,100
EUW1_5493465100,11.19,1495818,EUW1,200,100,200,,200,100,200
EUW1_5527270708,11.21,1443,EUW1,200,200,200,200,200,200,100
EUW1_5527166614,11.21,1490,EUW1,200,200,200,200,,200,100
EUW1_5527141618,11.21,1437,EUW1,100,200,100,100,100,200,200
EUW1_5527067593,11.21,1153,EUW1,200,200,200,200,,200,100
EUW1_5527083115,11.21,1480,EUW1,100,100,100,100,100,200,100
EUW1_5519442948,11.21,953,EUW1,100,100,100,100,,100,
EUW1_5518681839,11.21,1382,EUW1,200,200,200,200,200,200,200
EUW1_5518154898,11.21,1707,EUW1,100,100,100,100,200,100,200
EUW1_5518009896,11.21,1968,EUW1,200,100,100,200,200,200,100
EUW1_5518015980,11.21,1266,EUW1,200,100,200,,,200,100
EUW1_5517992678,11.21,1445,EUW1,100,200,100,100,100,200,200
EUW1_5513159685,11.20,1963,EUW1,100,100,100,200,200,200,100
EUW1_5513136848,11.20,1301,EUW1,200,200,200,200,,200,200
EUW1_5512596687,11.20,1742,EUW1,200,200,200,200,200,200,100
EUW1_5511431211,11.20,1624,EUW1,200,200,200,200,100,200,200
EUW1_5511375533,11.20,1844,EUW1,100,100,200,100,100,100,200
EUW1_5511218736,11.20,2480,EUW1,200,100,100,100,100,200,100
EUW1_5508147892,11.20,1667,EUW1,200,100,200,200,200,100,200
EUW1_5503534721,11.20,1241,EUW1,100,100,200,100,,100,200
EUW1_5503439984,11.20,1268,EUW1,100,200,100,100,,100,200
EUW1_5503165615,11.20,998,EUW1,100,100,100,100,,100,100
EUW1_5503067075,11.20,1597,EUW1,200,200,200,200,200,200,200
EUW1_5503081822,11.20,1825,EUW1,100,200,200,200,200,100,200
EUW1_5502997792,11.20,1393,EUW1,200,100,200,200,200,200,100
EUW1_5494005633,11.20,1419,EUW1,100,100,100,100,100,200,100
EUW1_5534800593,11.21,1712,EUW1,200,200,100,100,100,,100
EUW1_5534678559,11.21,1757,EUW1,200,100,200,200,100,200,
EUW1_5534657008,11.21,1573,EUW1,100,100,100,100,,100,100
EUW1_5534674254,11.21,1404,EUW1,200,200,200,200,,100,200
EUW1_5534643688,11.21,1550,EUW1,200,100,200,200,200,200,100
EUW1_5534586452,11.21,1576,EUW1,200,100,200,200,200,100,200
EUW1_5534555169,11.21,1469,EUW1,200,200,200,200,200,200,100
EUW1_5534524266,11.21,1930,EUW1,100,100,200,100,200,100,200
EUW1_5534581396,11.21,1592,EUW1,200,100,200,200,200,100,100
EUW1_5533485548,11.21,1106,EUW1,100,100,100,,,200,100
EUW1_5533417099,11.21,1374,EUW1,100,100,100,100,100,200,100
EUW1_5533383649,11.21,1236,EUW1,100,100,200,,,200,200
EUW1_5533288267,11.21,1647,EUW1,200,200,100,200,200,100,100
EUW1_5533273782,11.21,1176,EUW1,200,200,200,,,200,100
EUW1_5533208927,11.21,1153,EUW1,200,200,200,,,200,200
EUW1_5533252230,11.21,1559,EUW1,200,200,200,200,200,200,100
EUW1_5533119331,11.21,1289,EUW1,100,100,100,100,,100,100
EUW1_5533097397,11.21,992,EUW1,200,100,200,200,,200,200
EUW1_5532997752,11.21,1759,EUW1,200,100,200,200,200,100,200
EUW1_5533032050,11.21,2049,EUW1,100,100,100,100,200,100,100
EUW1_5532929875,11.21,1184,EUW1,100,200,200,,,200,200
EUW1_5532907778,11.21,1085,EUW1,200,200,200,200,,200,200
EUW1_5532886071,11.21,1327,EUW1,100,200,100,,100,100,100
EUW1_5532858064,11.21,2412,EUW1,100,200,100,100,100,200,100
EUW1_5532767859,11.21,1422,EUW1,100,100,100,100,100,100,200
