tier,division,match_id,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
BRONZE,II,EUW1_5470323715,11.18,1398821,EUW1,100.0,200.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5469547505,11.18,2721800,EUW1,200.0,200.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5460441403,11.18,1571966,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5459144828,11.18,1415751,EUW1,200.0,100.0,200.0,200.0,,200.0,
BRONZE,II,EUW1_5456910208,11.18,1906668,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5456875400,11.18,1707269,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5454657386,11.18,1631724,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5454590025,11.18,1987739,EUW1,200.0,200.0,100.0,100.0,200.0,200.0,100.0
BRONZE,II,EUW1_5454297603,11.18,2230079,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5454372994,11.18,1779458,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
BRONZE,II,EUW1_5529061539,11.21,1836,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5528837610,11.21,2313,EUW1,200.0,100.0,200.0,200.0,100.0,100.0,200.0
BRONZE,II,EUW1_5527409927,11.21,1789,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
BRONZE,II,EUW1_5527238045,11.21,1683,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5527109859,11.21,1327,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5527132993,11.21,1360,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5526493900,11.21,2472,EUW1,100.0,100.0,100.0,100.0,200.0,200.0,200.0
BRONZE,II,EUW1_5526350135,11.21,1490,EUW1,200.0,100.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5524441442,11.21,1670,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5255309184,11.9,1190440,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5252793046,11.9,2341174,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5251638479,11.9,1842876,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5243964209,11.9,2164610,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5240900573,11.9,1511158,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5240666549,11.9,2107523,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,
BRONZE,II,EUW1_5239910960,11.9,1289084,EUW1,200.0,100.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5239468348,11.9,3132273,EUW1,100.0,200.0,200.0,200.0,100.0,100.0,100.0
BRONZE,II,EUW1_5239402212,11.9,1471769,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5237683200,11.9,199676,EUW1,200.0,200.0,,,,,
BRONZE,II,EUW1_5237624481,11.9,1804303,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5237273319,11.9,1733769,EUW1,200.0,200.0,200.0,,200.0,200.0,200.0
BRONZE,II,EUW1_5237176025,11.9,2109631,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5236796558,11.9,2586146,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5230234637,11.8,1685822,EUW1,100.0,200.0,100.0,100.0,,100.0,
BRONZE,II,EUW1_5208856059,11.7,2053010,EUW1,100.0,100.0,100.0,,100.0,100.0,100.0
BRONZE,II,EUW1_5512206017,11.2,2012,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5510476623,11.2,1329,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
BRONZE,II,EUW1_5510457361,11.2,1576,EUW1,200.0,200.0,200.0,,,100.0,200.0
BRONZE,II,EUW1_5494476456,11.2,1489,EUW1,200.0,200.0,200.0,200.0,,100.0,
BRONZE,II,EUW1_5494386778,11.2,2431,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,100.0
BRONZE,II,EUW1_5441588647,11.17,1529009,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5439069142,11.17,1519930,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5439094742,11.17,1721804,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5439062651,11.17,1001009,EUW1,200.0,100.0,200.0,,,200.0,
BRONZE,II,EUW1_5347612409,11.13,2018121,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5347085396,11.13,2026656,EUW1,100.0,100.0,200.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5326045621,11.12,1848939,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5321300343,11.12,2060748,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5320286513,11.12,1818543,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5304147809,11.11,1892301,EUW1,200.0,100.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5304067071,11.11,1894144,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
