,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
12287,BRONZE,1838,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,3,5831,118,6512,-1,-6,0,1,0
28033,BRONZE,1424,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-8,-5190,-68,-9697,3,7,0,1,0
8315,BRONZE,1484,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-2,-3803,-72,-5009,1,7,0,-1,-1
3180,BRONZE,1936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-9,-8916,-86,-9847,1,10,0,-1,-1
267,BRONZE,1905,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,4336,57,3569,0,-2,0,1,0
3087,BRONZE,1906,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1636,19,-3390,0,1,0,0,-1
2474,BRONZE,2092,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2,4606,65,7320,-1,-6,0,-1,1
7151,BRONZE,2014,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,-10,-3972,49,-2716,1,3,0,1,-1
3972,BRONZE,919,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-11,-10116,-81,-11831,3,12,0,0,-1
3285,BRONZE,1640,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,7,2729,16,2697,0,1,0,-1,0
4020,BRONZE,2394,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1,620,40,4040,-1,-5,0,1,0
235,BRONZE,2590,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-6,-405,36,-3691,1,5,0,1,-1
310,BRONZE,1716,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,3,62,-38,2756,0,0,0,1,-1
1897,BRONZE,1761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-2,-2756,-44,60,0,2,0,-2,0
