,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
25840,GRANDMASTERS,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,7,1522,47,-11202,0,2,0,1,-1,-1
26223,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-6,1142,92,-5680,1,6,0,1,1,0
19862,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,17965,145,21783,8,9,2,2,1,1
19107,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,8726,4,-2521,5,1,0,3,1,1
25304,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-3,-5814,8,-4468,-2,-5,0,2,0,-1
17316,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,7818,54,3192,3,3,1,2,1,1
26282,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-8,-9042,-91,4313,-4,-9,0,-1,-1,0
22192,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,7010,31,18814,1,5,0,2,1,1
17199,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-12,65,9688,4,11,0,1,2,0
15286,GRANDMASTERS,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-16,-5395,35,-2829,-2,-6,0,3,-1,1
24660,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,8,2916,-54,-9495,-2,-6,0,0,-2,0
21930,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,10,8611,-25,21733,6,-1,1,1,-2,1
16846,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-7,-6322,-125,-4996,-5,-5,0,1,0,-1
13217,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,10,8404,61,16384,1,4,0,1,1,1
19069,GRANDMASTERS,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,6,6795,117,4985,3,-7,0,3,0,1
19319,GRANDMASTERS,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-2,-2708,-59,4985,-2,-7,0,1,-1,0
25786,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,17,11386,83,37373,0,-2,0,3,1,1
24274,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-8,-9366,-93,-14822,-6,-4,0,-1,1,0
23261,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-21,-13298,-92,-33495,-5,-2,-1,-1,1,0
25897,GRANDMASTERS,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,15,7351,25,-9772,2,2,0,1,-2,0
17776,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-9,-2637,45,-5782,-2,-3,0,2,-2,1
22006,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-4,-473,41,-12279,1,-1,0,2,1,0
25704,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3056,7,-11792,0,5,0,0,2,1
25475,GRANDMASTERS,-1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-13,-5206,22,-27812,0,4,0,0,2,-1
21784,GRANDMASTERS,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-17,-11354,31,-17247,-5,-7,0,2,-2,0
21609,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0,3075,113,-3448,0,-3,0,0,-1,0
19635,GRANDMASTERS,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,4,-963,28,1926,-1,-4,0,2,-1,-1
18230,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0,-628,-39,-16101,-1,0,0,0,0,0
17463,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5357,46,7389,8,5,0,3,1,1
25008,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1,-8087,-50,11958,0,-7,0,-1,-1,1
18233,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-3111,-82,2074,-3,-8,0,0,-1,0
26376,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-3,-174,-25,-26492,0,0,0,-1,1,1
19651,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-11,-2593,18,-5923,-5,0,-1,-3,-2,1
24641,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,6,1826,56,6076,-5,-9,-1,-2,-2,1
20151,GRANDMASTERS,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-3,-6990,-78,-7499,-2,1,-1,-1,2,-1
23263,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-9,-9519,-2,-17136,-1,-1,0,0,-1,-1
18143,GRANDMASTERS,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-9,-1842,2,-6189,0,4,0,-3,-1,1
16851,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,3,5323,-76,3955,3,-1,2,1,1,1
19741,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-6100,-104,-5766,-5,-4,0,1,-2,-1
19625,GRANDMASTERS,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0,-3640,-67,-6392,-1,-8,0,0,-2,-1
18397,GRANDMASTERS,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1,-1480,-141,-7297,-6,-10,-1,0,-1,1
22963,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-5,140,26,-410,-3,0,0,3,-2,1
20903,GRANDMASTERS,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,3,780,-49,-18852,1,-2,0,-1,2,0
23100,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,10,2196,35,1867,0,-2,0,1,1,1
26004,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-11,-6216,-7,-4601,-3,-6,0,0,-2,0
23760,GRANDMASTERS,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3,-8972,-12,-13218,-1,2,0,3,0,-1
16670,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-12,-3559,25,-24469,2,1,0,-2,0,0
23142,GRANDMASTERS,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-3,-1315,-42,-14195,-1,-2,0,0,1,0
24983,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1993,-126,3244,0,-1,0,2,2,0
