,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
7902,BRONZE,1680,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,0,0
20099,BRONZE,1917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1,0,-1,0
15576,BRONZE,1757,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,0,-1,0,1,0
8620,BRONZE,1615,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,-1,0,1,-1
2195,BRONZE,2249,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1,-1,0,1,0,-1,0
7347,BRONZE,1726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,-1,0,0,1
6813,BRONZE,2137,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1,-1,-1,-1,0,-1,0,1,0
30456,BRONZE,1534,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,-1,-1,0,1,-1
1157,BRONZE,1778,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
3617,BRONZE,1080,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,1,1,1,0,1
11878,BRONZE,2010,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,0,1,0,1,0
17821,BRONZE,2372,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,1,-1
9634,BRONZE,1798,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,1,1,1,0,0,-1
1274,BRONZE,2251,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1,-1,1,0,1,0,0,-1
707,BRONZE,2374,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1,-1,1,-1,1,1,0,-1,1
5712,BRONZE,1355,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,1,1,1,-1,-1,-1,0,0,0
16801,BRONZE,2064,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0,-1,-1,1,0,-1,0,-1,-1
21266,BRONZE,1897,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,0,1,0,1,1
3517,BRONZE,1536,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,-1,-1,0,-1,0
2793,BRONZE,1598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,0,-1,0,1,1
