,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
1422,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1,-1,-1,-1,0,-1,-1,0
3975,BRONZE,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
4365,BRONZE,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,1,-1,0,0,-1,0
383,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1,-1,-1,1,1,1,0,0,0,0
3909,BRONZE,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,0,0,0,-1,1
2721,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,1,-1,1,0,0,-1,-1
583,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,1,0,1,1,0
3735,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
4448,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
2280,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
3041,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
1834,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,-1,1,-1,-1,0,0,1,-1
4179,BRONZE,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,-1,0,0,-1,0
2422,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1,0,0,0,-1
3930,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1,1,1,1,1,0,0,-1,-1
2949,BRONZE,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
542,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,-1,0,1,0,0,1,-1
739,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
2501,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,-1,1,0,1,0
3997,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,-1,-1,-1,0,0,-1,-1
3503,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,1,0,0,0,1,1
4594,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1,1,1,-1,-1,-1,0,0,-1,1
2471,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,0,0,0,0,-1,1
653,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
1480,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,0,0,-1,0
4310,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1,-1,1,-1,-1,0,0,-1,-1
2738,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,1,-1,1,0,-1,0,-1
1792,BRONZE,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1,-1,-1,1,1,1,0,0,-1,0
469,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,-1,0,0,1,-1
1357,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,0,1,0
2231,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,0,-1,1
3322,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
2134,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
159,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,0,0,-1,-1
165,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1
2945,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,-1,1,0,-1,0
3841,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,0,1,0
4531,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1,1,1,-1,1,1,0,1,1,1
3780,BRONZE,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1,1,1,-1,1,1,0,0,-1,1
2201,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
3855,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,1,-1,1,1,0,0,-1,1
2482,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,0,-1,0,-1,-1
3843,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,1,0,0,-1,-1
2758,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,-1,1,-1,0,1,1,1
1451,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1,1,-1,1,-1,0,0,0,1,0
