,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
7233,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-8,-2922,61,-12740,-3,5,0,-3,0,0
6607,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,4,5179,152,1278,3,0,0,1,1,0
2339,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-4,-1138,-11,-7764,-1,0,0,-3,0,0
3478,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,4,7810,114,-4931,4,2,0,-3,1,0
15347,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,7,5012,41,13896,3,5,1,4,0,0
8159,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,15,12319,-2,17828,5,0,1,0,2,0
7613,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-15,-12663,-70,-14048,-9,-5,-2,-3,0,0
227,BRONZE,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,7,4155,-39,5742,2,3,0,-2,2,0
607,BRONZE,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,2100,-23,5158,0,0,0,-1,-1,0
5049,BRONZE,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,17,9530,137,26147,4,-6,0,2,-1,0
6103,BRONZE,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-5,-2012,-17,-18757,-1,3,0,-1,-2,0
1188,BRONZE,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,2,4617,101,6016,1,7,0,1,1,0
15865,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,8,7925,68,16167,5,9,0,1,0,1
1156,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,7,2398,0,9213,-2,-2,0,-2,-2,0
4076,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-20,-6505,-65,-11176,-4,-4,0,-1,-1,-1
6375,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-5,-8989,-32,-4716,-6,1,-1,-1,-2,0
1224,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,12312,118,19711,5,8,2,3,1,0
11081,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-15,-12600,-138,-25274,-4,-10,0,-1,-1,-1
1558,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2,-610,38,-3399,1,-2,0,1,1,0
3696,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-14,-15185,-257,-25120,-10,-15,-4,-3,-2,0
7474,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,16,9089,64,18224,4,5,0,0,0,1
