,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
1450,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
1056,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,-1,1,1,0,1,0,0
4280,BRONZE,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
2771,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
3636,BRONZE,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1,0,0,-1,-1
4387,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,-1,0,0,1,0
3480,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,-1,1,-1,0,1,1,1
3620,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
743,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,1,1,-1,0,-1,-1
1032,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
3928,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,0,1,0
380,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,1
2575,BRONZE,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
4637,BRONZE,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
1341,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,-1,-1
518,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
306,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
2020,BRONZE,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1
3306,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,1,-1,1,0,0,0,0,-1,-1
4000,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,0,-1,0,0,1,-1
1996,BRONZE,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1,-1,1,1,-1,-1,0,0,-1,1
1719,BRONZE,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1,-1,-1,0,-1,0,0,-1,-1
2577,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
3973,BRONZE,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,1,1,-1,1,-1,-1,0,1,1,-1
2203,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
293,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
502,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1
1886,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,-1,1,1,1,0,1,1
650,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1,1,-1,1,1,1,0,0,-1,0
3223,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1,-1,-1,-1,1,-1,0,0,-1,1
2658,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
3266,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,1,0,-1,1
4099,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,1,-1,-1,-1,0,0,0,0
4236,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,0,-1,0,0,1,-1
520,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1,-1,1,-1,1,-1,0,0,1,0
2427,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,0,0,1,0
1515,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1,-1,1,-1,-1,0,0,0,0,0
1079,BRONZE,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1,1,1,-1,1,1,0,0,-1,1
4678,BRONZE,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
3913,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1,-1,1,1,0,1,0,0,-1,1
600,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,-1,1,1,0,1,1,0
2572,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
1162,BRONZE,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1574,BRONZE,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1,-1,1,1,1,0,0,-1,0
2100,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,1,1,1,0
672,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
2750,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,-1,1,0,0,-1,0
2304,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,1,-1,-1,0,0,-1,-1
2029,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0,1,-1,-1,-1,1,0,0,-1,1
332,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,1,-1,1,-1,-1,0,0,1,-1
2384,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
4118,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,-1,-1,1,0,0,0,0,-1
