tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
european-masters-spring-2020,103936903255867934,103936903255867933,10.7,2020-05-02 16:52:40,1,FNCR,ESB,,24214,0,1,0,2,2,494,21834,0,0,0,1,0,504
european-masters-spring-2020,103936903255867938,103936903255867937,10.7,2020-05-02 17:36:40,1,FNCR,MOUZ,,19332,0,0,0,1,1,442,21201,0,0,0,3,1,435
european-masters-spring-2020,103936903255867928,103936903255867927,10.7,2020-05-02 18:40:10,1,ESB,WIZ,,20827,0,0,0,0,1,478,26412,0,1,0,6,1,518
european-masters-spring-2020,103936903255867936,103936903255867935,10.7,2020-05-02 19:34:10,1,ESB,MOUZ,,21984,0,0,0,5,1,400,24926,0,1,0,6,1,458
european-masters-spring-2020,103936903255867930,103936903255867929,10.7,2020-05-02 20:22:20,1,WIZ,FNCR,,16258,0,0,0,1,0,332,15224,0,0,0,0,1,337
european-masters-spring-2020,104083942806048264,104083942806048263,10.7,2020-05-03 16:02:10,1,LDLC,VGIA,,28109,0,3,0,5,2,548,22854,0,1,0,3,0,443
european-masters-spring-2020,104095191288326900,104095191288326899,10.7,2020-05-03 17:43:40,1,S04E,MRS,,22127,0,0,0,1,1,493,22232,0,0,0,3,1,444
european-masters-spring-2020,104105472200415356,104105472200415355,10.7,2020-05-03 16:55:10,1,RGO,LDLC,LDLC,21928,0,0,0,5,0,429,21691,0,0,0,3,2,438
european-masters-spring-2020,104105974775618430,104105974775618429,10.7,2020-05-03 19:02:40,1,MRS,K1,,21993,0,0,0,2,1,472,22913,0,1,0,3,0,448
european-masters-spring-2020,103936903256588837,103936903256588836,10.7,2020-05-05 16:06:10,1,MOUZ,RGO,,19478,0,0,0,2,0,412,22908,0,1,0,6,1,443
european-masters-spring-2020,103936903256588838,103936903256588836,10.7,2020-05-05 16:51:30,2,MOUZ,RGO,RGO,21704,0,0,0,1,0,492,26069,0,0,0,9,2,477
european-masters-spring-2020,103936903256588841,103936903256588840,10.7,2020-05-05 17:40:00,1,BTXL,LDLC,LDLC,15488,0,0,0,1,0,305,17467,0,0,0,3,1,338
european-masters-spring-2020,103936903256588842,103936903256588840,10.7,2020-05-05 18:31:30,2,LDLC,BTXL,,24756,0,1,0,5,1,457,20659,0,0,0,2,1,424
european-masters-spring-2020,103936903256588845,103936903256588844,10.7,2020-05-06 16:06:30,1,FNCR,MRS,FNCR,2720,0,0,0,0,0,9,2783,0,0,0,0,0,13
european-masters-spring-2020,103936903256588846,103936903256588844,10.7,2020-05-06 17:19:40,2,FNCR,MRS,,23563,0,0,0,3,0,502,23597,0,0,0,4,2,509
european-masters-spring-2020,103936903256588847,103936903256588844,10.7,2020-05-06 18:07:10,3,FNCR,MRS,MRS,26015,0,1,0,3,2,537,22595,0,0,0,2,0,506
european-masters-spring-2020,103936903256588849,103936903256588848,10.7,2020-05-07 17:02:30,1,K1,GO,,25105,0,1,0,9,2,426,22821,0,1,0,4,0,405
european-masters-spring-2020,103936903256588850,103936903256588848,10.7,2020-05-07 17:50:50,2,K1,GO,,22457,0,1,0,2,1,436,27348,0,2,0,11,0,428
european-masters-spring-2020,103936903256588851,103936903256588848,10.7,2020-05-07 18:41:50,3,K1,GO,,19122,0,0,0,1,1,399,18727,0,0,0,2,0,389
european-masters-spring-2020,103936903256588853,103936903256588852,10.7,2020-05-09 16:02:20,1,LDLC,RGO,RGO,21607,0,0,0,3,1,446,21089,0,0,0,3,1,431
european-masters-spring-2020,103936903256588854,103936903256588852,10.7,2020-05-09 16:58:20,2,LDLC,RGO,,26902,0,4,0,6,2,454,21826,0,0,0,2,0,441
european-masters-spring-2020,103936903256588855,103936903256588852,10.7,2020-05-09 17:44:10,3,LDLC,RGO,LDLC,19682,0,0,0,2,1,418,18095,0,0,0,1,0,398
european-masters-spring-2020,103936903256588857,103936903256588856,10.7,2020-05-09 18:44:10,1,MRS,K1,,20034,0,0,0,0,1,469,20645,0,0,0,0,1,465
european-masters-spring-2020,103936903256588858,103936903256588856,10.7,2020-05-09 19:45:50,2,K1,MRS,,25903,0,1,0,5,1,511,21700,0,0,0,2,1,470
european-masters-spring-2020,103936903256588861,103936903256588860,10.7,2020-05-10 16:01:10,1,LDLC,K1,,22984,0,0,0,4,2,457,20342,0,0,0,0,0,456
european-masters-spring-2020,103936903256588862,103936903256588860,10.7,2020-05-10 17:00:50,2,LDLC,K1,,22735,0,0,0,2,1,468,24476,0,0,0,3,1,505
european-masters-spring-2020,103936903256588863,103936903256588860,10.7,2020-05-10 17:56:00,3,LDLC,K1,,22324,0,1,0,1,0,446,22078,0,0,0,1,2,468
eu_masters_summer_2020,104727755403949087,104727755403949086,10.16,2020-08-24 15:57:40,1,VGIA,MSFP,MSFP,12738,0,0,0,0,0,278,14604,0,0,0,3,1,296
eu_masters_summer_2020,104727755403949085,104727755403949084,10.16,2020-08-24 16:52:20,1,WLG,PT7,WLG,24696,0,1,0,5,1,478,22019,0,0,0,2,1,488
eu_masters_summer_2020,104727755403949105,104727755403949104,10.16,2020-08-24 17:43:50,1,FNCR,GO,FNCR,24896,0,1,0,7,0,431,24699,0,0,0,7,1,478
eu_masters_summer_2020,104727755403949115,104727755403949114,10.16,2020-08-24 18:39:20,1,IF,MOUZ,MOUZ,19849,0,0,0,3,0,408,23812,0,1,0,7,1,454
eu_masters_summer_2020,104727755403949057,104727755403949056,10.16,2020-08-24 19:19:10,1,RGO,MRS,MRS,24471,0,1,0,3,0,493,22639,0,0,0,1,2,490
eu_masters_summer_2020,104727755403949067,104727755403949066,10.16,2020-08-24 20:13:50,1,SSU,GL,,21070,0,1,0,0,0,458,19223,0,0,0,1,2,431
eu_masters_summer_2020,104727755403883497,104727755403883496,10.16,2020-08-25 15:59:50,1,S04E,K1,,12131,0,0,0,2,0,221,12256,0,0,0,1,1,260
eu_masters_summer_2020,104727755403949043,104727755403949042,10.16,2020-08-25 16:52:00,1,SMS,LDLC,SMS,20429,0,1,0,0,0,440,21455,0,1,0,0,2,461
eu_masters_summer_2020,104727755403949089,104727755403949088,10.16,2020-08-25 17:55:30,1,MSFP,WLG,MSFP,21901,0,0,0,11,0,355,17557,0,0,0,2,1,357
eu_masters_summer_2020,104727755403949083,104727755403949082,10.16,2020-08-25 18:46:00,1,VGIA,PT7,VGIA,24636,0,1,0,0,2,516,22118,0,0,0,1,0,493
eu_masters_summer_2020,104727755403949109,104727755403949108,10.16,2020-08-25 19:40:10,1,MOUZ,FNCR,MOUZ,24500,0,2,0,2,2,506,20876,0,0,0,1,0,485
eu_masters_summer_2020,104727755403949111,104727755403949110,10.16,2020-08-25 20:25:40,1,GO,IF,GO,29255,0,4,0,11,2,445,24081,0,0,0,7,0,438
eu_masters_summer_2020,104727755403949107,104727755403949106,10.16,2020-08-26 15:57:00,1,FNCR,IF,FNCR,25741,0,2,0,5,2,452,21977,0,0,0,3,0,435
eu_masters_summer_2020,104727755403949113,104727755403949112,10.16,2020-08-26 16:45:20,1,GO,MOUZ,GO,21127,0,0,0,7,1,381,19160,0,0,0,2,1,411
eu_masters_summer_2020,104727755403949065,104727755403949064,10.16,2020-08-26 17:32:50,1,MRS,GL,MRS,24656,0,1,0,8,2,433,22697,0,0,0,5,0,436
eu_masters_summer_2020,104727755403949059,104727755403949058,10.16,2020-08-26 18:23:40,1,RGO,SSU,,27428,0,2,0,8,2,484,22656,0,0,0,4,0,435
eu_masters_summer_2020,104727755403949041,104727755403949040,10.16,2020-08-26 19:09:50,1,S04E,LDLC,S04E,22260,0,0,0,2,1,487,24170,0,1,0,1,1,498
eu_masters_summer_2020,104727755403883499,104727755403883498,10.16,2020-08-26 19:58:10,1,K1,SMS,,16037,0,0,0,1,1,337,15509,0,0,0,1,0,311
eu_masters_summer_2020,104727755403949039,104727755403883502,10.16,2020-08-27 15:56:40,1,SMS,S04E,S04E,22967,0,0,0,0,0,550,23620,0,0,0,1,2,547
eu_masters_summer_2020,104727755403883501,104727755403883500,10.16,2020-08-27 16:52:00,1,LDLC,K1,,23955,0,1,0,4,1,464,23473,0,1,0,5,1,454
eu_masters_summer_2020,104727755403949091,104727755403949090,10.16,2020-08-27 17:48:50,1,WLG,VGIA,VGIA,23511,0,1,0,4,0,445,24230,0,1,0,4,2,465
eu_masters_summer_2020,104727755403949081,104727755403949080,10.16,2020-08-27 18:46:10,1,PT7,MSFP,MSFP,19286,0,0,0,3,0,384,20586,0,0,0,4,1,422
